Entity,Management 1,Management 2,Management 3,Management 4,Management 5,Date,Amount
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,1/1/21,-2215650
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,1/1/21,-984730
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,1/1/21,-492370
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,1/1/21,-738550
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,1/1/21,-295420
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,1/1/21,-196950
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,1/1/21,688320
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,1/1/21,2608960
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,1/1/21,1709170
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,1/1/21,287827
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,1/1/21,3082190
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,1/1/21,-179040
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,1/1/21,-89520
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,1/1/21,-179040
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,1/1/21,-89520
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,1/1/21,-895210
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,1/1/21,-179040
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,1/1/21,-179040
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,2/1/21,-2232360
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,2/1/21,-992160
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,2/1/21,-496080
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,2/1/21,-744120
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,2/1/21,-297650
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,2/1/21,-198430
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,2/1/21,696790
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,2/1/21,2737030
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,2/1/21,1673740
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,2/1/21,316947
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,2/1/21,2961240
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,2/1/21,-180390
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,2/1/21,-90200
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,2/1/21,-180390
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,2/1/21,-90200
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,2/1/21,-901960
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,2/1/21,-180390
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,2/1/21,-180390
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,3/1/21,-2260700
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,3/1/21,-1004750
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,3/1/21,-502380
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,3/1/21,-753570
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,3/1/21,-301430
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,3/1/21,-200950
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,3/1/21,701540
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,3/1/21,2586810
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,3/1/21,1727670
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,3/1/21,346897
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,3/1/21,3077430
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,3/1/21,-182680
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,3/1/21,-91340
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,3/1/21,-182680
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,3/1/21,-91340
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,3/1/21,-913410
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,3/1/21,-182680
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,3/1/21,-182680
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,4/1/21,-2284480
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,4/1/21,-1015330
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,4/1/21,-507660
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,4/1/21,-761490
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,4/1/21,-304600
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,4/1/21,-203070
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,4/1/21,666260
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,4/1/21,2747720
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,4/1/21,1621260
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,4/1/21,373860
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,4/1/21,3073430
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,4/1/21,-184600
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,4/1/21,-92300
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,4/1/21,-184600
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,4/1/21,-92300
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,4/1/21,-923020
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,4/1/21,-184600
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,4/1/21,-184600
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,5/1/21,-2306070
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,5/1/21,-1024920
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,5/1/21,-512460
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,5/1/21,-768690
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,5/1/21,-307480
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,5/1/21,-204980
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,5/1/21,662330
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,5/1/21,2712330
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,5/1/21,1683040
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,5/1/21,426207
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,5/1/21,2981150
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,5/1/21,-186350
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,5/1/21,-93170
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,5/1/21,-186350
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,5/1/21,-93170
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,5/1/21,-931750
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,5/1/21,-186350
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,5/1/21,-186350
